epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,670.5,1.28082,2.28943,1.09847,0.37598,0.42676,0.27115,0.18385,1.06368,1.6352,1.00855,0.000275563,0.000275563,0.000275563
2,1311.8,1.20693,1.69377,1.06947,0.37711,0.34479,0.26827,0.17404,1.09068,1.57809,1.03126,0.000525845,0.000525845,0.000525845
3,1949.27,1.20596,1.60364,1.07114,0.37519,0.40677,0.2928,0.19192,1.09062,1.51876,1.04323,0.000748638,0.000748638,0.000748638
4,2604.49,1.20903,1.56822,1.06624,0.38127,0.44319,0.3194,0.21023,1.04947,1.46637,1.02157,0.000709299,0.000709299,0.000709299
5,3245.53,1.13995,1.4899,1.04557,0.31599,0.47905,0.35446,0.24785,1.02935,1.36877,1.01188,0.000668066,0.000668066,0.000668066
6,3889.16,1.13505,1.46172,1.04032,0.3722,0.47173,0.36474,0.2572,1.00635,1.34466,1.00413,0.000626832,0.000626832,0.000626832
7,4534.61,1.11585,1.41548,1.03233,0.37456,0.51057,0.39109,0.28738,0.96992,1.28595,0.98563,0.000585599,0.000585599,0.000585599
8,5168.51,1.08291,1.36619,1.0226,0.37292,0.55676,0.40496,0.29656,0.95388,1.24686,0.97667,0.000544365,0.000544365,0.000544365
9,5806.63,1.06077,1.30491,1.00515,0.38598,0.53718,0.44601,0.33405,0.93302,1.20745,0.96884,0.000503132,0.000503132,0.000503132
10,6440.74,1.02903,1.27543,0.9978,0.42667,0.53447,0.46694,0.34255,0.93706,1.14473,0.9731,0.000461898,0.000461898,0.000461898
11,7067.16,0.98239,1.1665,0.98382,0.45156,0.56291,0.48989,0.36212,0.92546,1.14514,0.96839,0.000420665,0.000420665,0.000420665
12,7725.77,0.95178,1.12644,0.9747,0.47595,0.58312,0.53218,0.39838,0.90569,1.05675,0.95728,0.000379431,0.000379431,0.000379431
13,8372.54,0.92968,1.02212,0.96483,0.51786,0.57462,0.55209,0.41854,0.88406,1.01614,0.94557,0.000338198,0.000338198,0.000338198
14,9012.2,0.91079,0.98589,0.95752,0.54973,0.57166,0.57975,0.44164,0.87393,0.94139,0.94203,0.000296964,0.000296964,0.000296964
15,9645.57,0.89311,0.9146,0.95196,0.62426,0.62374,0.64835,0.50424,0.85209,0.88039,0.93237,0.000255731,0.000255731,0.000255731
16,10283,0.88358,0.86827,0.9459,0.57407,0.64126,0.66378,0.52534,0.83925,0.83142,0.93108,0.000214497,0.000214497,0.000214497
17,10904.3,0.85333,0.79941,0.93458,0.68177,0.67498,0.71941,0.56555,0.82202,0.7934,0.92722,0.000173264,0.000173264,0.000173264
18,11533.9,0.84836,0.7798,0.93722,0.6632,0.69657,0.73487,0.58286,0.81384,0.74102,0.92427,0.000132031,0.000132031,0.000132031
19,12199.4,0.82413,0.71727,0.92218,0.78254,0.62325,0.76488,0.60951,0.80061,0.70408,0.91604,9.0797e-05,9.0797e-05,9.0797e-05
20,12831,0.81315,0.69265,0.92172,0.71313,0.72873,0.7899,0.63538,0.79123,0.68347,0.9154,4.95635e-05,4.95635e-05,4.95635e-05
